"datetime","shortId","shortGroup","description","type","kind","isRefund","isRefunded","shortRefundId","displayAmount","amount","paymentProcessorFee","netAmount","balance","currency","accountSlug","accountName","oppositeAccountSlug","oppositeAccountName","paymentMethodService","paymentMethodType","expenseType","expenseTags","payoutMethodType","merchantId","orderMemo","taxAmount"
"2025-10-01T04:05:48","8f492a63","b20cbd28","Monthly contribution from Richard (backer)","CREDIT","CONTRIBUTION","","","","$10.50 USD",10.5,-0.76,9.74,5272.96,"USD","metamask","MetaMask","richard9","Richard","STRIPE","CREDITCARD",,"",,,,0
"2025-09-01T04:06:59","d268ce16","1b3d60f1","Monthly contribution from Richard (backer)","CREDIT","CONTRIBUTION","","","","$10.50 USD",10.5,-0.76,9.74,5264.27,"USD","metamask","MetaMask","richard9","Richard","STRIPE","CREDITCARD",,"",,,,0
"2025-08-01T04:07:24","b616b0c7","f8be5be4","Monthly contribution from Richard (backer)","CREDIT","CONTRIBUTION","","","","$10.50 USD",10.5,-0.76,9.74,5255.58,"USD","metamask","MetaMask","richard9","Richard","STRIPE","CREDITCARD",,"",,,,0
"2025-07-01T04:07:22","82d87505","0664fb79","Monthly contribution from Richard (backer)","CREDIT","CONTRIBUTION","","","","$10.50 USD",10.5,-0.76,9.74,5246.89,"USD","metamask","MetaMask","richard9","Richard","STRIPE","CREDITCARD",,"",,,,0
"2025-06-01T04:08:26","cdb5c7e9","a958b95e","Monthly contribution from Richard (backer)","CREDIT","CONTRIBUTION","","","","$10.50 USD",10.5,-0.76,9.74,5238.2,"USD","metamask","MetaMask","richard9","Richard","STRIPE","CREDITCARD",,"",,,,0
Warning: totalCount is 1150 and limit was 5
